名字,题目,选项1,选项2,选项3,选项4
情书,关于《情书》这本小说，渡边博子的回忆事件和她与藤井树的相遇事件有什么关系？,渡边博子的回忆事件导致了她与藤井树的相遇,渡边博子的回忆事件是她与藤井树的初次相遇,她与藤井树的相遇事件引发了她的回忆,渡边博子的回忆事件与她与藤井树的相遇无关
球状闪电,关于《球状闪电》这本小说，何种事件使得美国结束了与中国的战争？,中国的反击,聚变实验失败,战争疲劳,电子设备大面积损毁
球状闪电,关于《球状闪电》这本小说，陈博士的研究成果与战争中使用的武器有什么关系？,相互无关,陈博士的研究成果为战争提供了新型武器,战争没有使用陈博士的研究成果,陈博士的研究成果导致战争结束
球状闪电,关于《球状闪电》这本小说，林云擅自启动宏核聚变试验与美国结束与中国的战争有什么关系？,两事件无关,林云的行为导致美国结束战争,林云的行为与战争无直接关系,林云的行为导致战争升级
三体,关于《三体》这本小说，叶文洁向外太空发送信号和三体文明确认地球位置有什么关系？,信号导致三体文明向地球发起进攻,信号引起三体文明对地球产生兴趣,信号使三体文明决定逃离其毁灭的星系,信号被三体文明忽略，不产生影响
三体,关于《三体》这本小说，地球科技被“智子”技术锁死和三体文明开始向地球移民有什么关系？,“智子”技术使三体文明更容易适应地球环境,“智子”技术是三体文明用来攻击地球的武器,“智子”技术是三体文明用来干扰地球科技发展的工具,“智子”技术使三体文明对地球感到威胁，推动移民计划
杀死一只知更鸟,关于《杀死一只知更鸟》这本小说，汤姆·鲁滨逊的审判和梅薏拉·尤厄尔的指控有什么关系？,梅薏拉指控汤姆对她进行强奸，导致汤姆面临审判,梅薏拉指控汤姆偷窃她家财物，导致汤姆面临审判,梅薏拉指控汤姆威胁她的生命安全，导致汤姆面临审判,梅薏拉指控汤姆对她进行伤害，导致汤姆面临审判
杀死一只知更鸟,关于《杀死一只知更鸟》这本小说，杰姆和斯各特被鲍伯·尤厄尔袭击和布·拉德力介入有什么关系？,布·拉德力及时赶到，保护了杰姆和斯各特，使他们免受伤害,布·拉德力向警察提供了线索，帮助破获袭击事件,杰姆和斯各特向布·拉德力求助，布·拉德力前来帮助他们，化解危机,布·拉德力参与了袭击事件，但后来意识到错误，前来道歉并帮助杰姆和斯各特
射雕英雄传,关于《射雕英雄传》这本小说，郭靖和黄蓉重逢后，在第二次华山论剑中发生了什么事件？,郭靖击败欧阳锋并夺回九阴真经,郭靖被封为武林盟主,郭靖和黄蓉正式结为夫妻,郭靖向黄药师请教武学心得
射雕英雄传,关于《射雕英雄传》这本小说，丘处机刺杀王道乾和牛家村相识郭啸天及杨铁心有什么关系？,丘处机是郭啸天的亲生父亲,丘处机刺杀王道乾后寻找藏匿于牛家村的郭啸天和杨铁心,丘处机是牛家村的村长,丘处机帮助牛家村修建一座寺庙
射雕英雄传,关于《射雕英雄传》这本小说，郭靖击败欧阳锋并夺回九阴真经和重逢黄蓉后的行动有什么关系？,郭靖夺回九阴真经后与黄蓉一同逃脱欧阳锋的追击,郭靖在夺回九阴真经后立即去寻找黄蓉,郭靖击败欧阳锋后向黄蓉求婚,郭靖夺回九阴真经后与黄蓉共同制定新的武学计划
神雕侠侣,关于《神雕侠侣》这本小说，杨过救出小龙女后，他们在古墓中发现了一位老妇人。请问，这位老妇人与哪个事件有关系？,与小龙女决战绝情谷的事件,与杨过投靠金轮国师的事件,与公孙止的遭遇事件,与郭襄被掳走的事件
神雕侠侣,关于《神雕侠侣》这本小说，在终南山古墓，杨过偷听到了赵志敬和甄志丙的秘密，导致小龙女离开。这两个事件之间有何关系？,小龙女愤怒赵志敬和甄志丙的所作所为,赵志敬和甄志丙欺骗小龙女，导致误解产生,小龙女认为杨过背叛了她，因此离开,赵志敬和甄志丙利用小龙女与杨过的关系进行算计
鼠疫,关于《鼠疫》这本小说，阿尔及利亚奥兰的瘟疫爆发事件与小人物成为城中风云人物事件有什么关系？,小人物成为城中风云人物是瘟疫爆发的原因,小人物成为城中风云人物是瘟疫爆发的结果,小人物成为城中风云人物与瘟疫爆发无关,小人物成为城中风云人物导致瘟疫爆发
鼠疫,关于《鼠疫》这本小说，主角Rieux医师救助病人事件与政客掩饰诿过事件有什么关系？,政客掩饰诿过导致了Rieux医师救助病人,Rieux医师救助病人促使了政客掩饰诿过,政客掩饰诿过与Rieux医师救助病人无关,政客掩饰诿过和Rieux医师救助病人同时发生
树上的男爵,关于《树上的男爵》这本小说，柯希莫的父母对他的严格管教和他爬上树的行为之间有何关系？,父母的严格管教导致了柯希莫的叛逆行为,父母的严格管教使柯希莫更加顺从家庭规则,父母的严格管教促使柯希莫更加尊重动物,父母的严格管教与柯希莫爬上树无关
树上的男爵,关于《树上的男爵》这本小说，柯希莫与自然界生物的建立密切关系和他对爱情的追求之间有何关系？,柯希莫的与自然界生物的关系影响了他对爱情的态度,柯希莫对爱情的追求影响了他与自然界生物的交往,柯希莫对爱情的追求使他疏远了与自然界生物的关系,柯希莫与自然界生物的关系与他对爱情的追求无关
树上的男爵,关于《树上的男爵》这本小说，卡尔维诺加入意大利共产党和他开始文学创作之间的事件关系是什么？,卡尔维诺的共产主义信仰直接影响了他的文学创作主题和风格,卡尔维诺的文学创作启示了他加入共产党的决定,卡尔维诺加入共产党导致了他暂时停止文学创作,卡尔维诺的文学创作与他加入共产党无关
水浒传,关于《水浒传》这本小说，梁山泊起义和晁盖成为梁山首领的事件有什么关系？,梁山泊起义是导致晁盖成为梁山首领的原因,晁盖成为梁山首领是梁山泊起义的结果,两事件间没有直接关系,晁盖成为梁山首领使得梁山泊起义得以成功
水浒传,关于《水浒传》这本小说，梁山泊好汉接受招安和朝廷镇压方腊起义的事件有什么关系？,接受招安导致朝廷镇压方腊起义,朝廷镇压方腊起义使梁山泊好汉接受招安,两事件间没有直接关系,接受招安和朝廷镇压方腊起义是独立发生的事件
水浒传,关于《水浒传》这本小说，晁盖被擒获和梁山好汉归顺朝廷的事件有什么关系？,晁盖被擒获导致梁山好汉归顺朝廷,梁山好汉归顺朝廷导致晁盖被擒获,两事件间没有直接关系,晁盖被擒获和梁山好汉归顺朝廷是独立发生的事件
水浒传,关于《水浒传》这本小说，宋江领梁山泊好汉攻破大名府和朝廷派遣高俅征讨梁山泊的事件有什么关系？,大名府攻破导致朝廷派遣高俅征讨梁山泊,朝廷派遣高俅征讨梁山泊导致大名府攻破,两事件间没有直接关系,大名府攻破和朝廷派遣高俅征讨梁山泊是同时发生的事件
苏菲的世界,关于《苏菲的世界》这本小说，苏菲收到古怪的明信片和她开始学习哲学有什么关系？,古怪的明信片启发了她对哲学的兴趣,她学习哲学后才收到古怪的明信片,古怪的明信片是她学习哲学的原因,两个事件没有直接关系
苏菲的世界,关于《苏菲的世界》这本小说，苏菲发现自己是虚构角色和她学习中世纪哲学有什么关系？,她发现自己是虚构角色后开始学习中世纪哲学,她学习中世纪哲学后才发现自己是虚构角色,两个事件没有直接关系,她发现自己是虚构角色并没有影响她学习哲学
围城,关于《围城》这本小说，方鸿渐购买虚构的“克莱登大学”博士学位证书和什么事件有关？,离开上海,出国求学,与鲍小姐相识,与孙柔嘉结婚
围城,关于《围城》这本小说，方鸿渐离开三闾大学回到上海与什么事件有关？,孙柔嘉的病情,与赵辛楣的纠纷,辞去报馆工作,结识苏文纨
天龙八部,关于《天龙八部》这本小说，萧峰助辽帝平叛与他自杀悲剧结局之间存在什么样的关系？,自杀悲剧结局是萧峰助辽帝平叛的结果。,萧峰助辽帝平叛是自杀悲剧结局的结果。,萧峰助辽帝平叛是自杀悲剧结局的条件。,自杀悲剧结局是萧峰助辽帝平叛的条件。
天龙八部,关于《天龙八部》这本小说，虚竹得知自己是玄慈私生子与他成为灵鹫宫新尊主之间存在什么样的关系？,成为灵鹫宫新尊主是虚竹得知自己是玄慈私生子的结果。,虚竹得知自己是玄慈私生子是成为灵鹫宫新尊主的结果。,虚竹得知自己是玄慈私生子是成为灵鹫宫新尊主的条件。,成为灵鹫宫新尊主是虚竹得知自己是玄慈私生子的条件。
西线无战事,关于《西线无战事》这本小说，保罗·博伊默尔被派往前线作战和他在学校里接受的激励之间有何关系？,直接因果关系,间接因果关系,无关系,反向因果关系
西游记,关于《西游记》这本小说，孙悟空大闹天宫事件与唐僧取经事件有什么关系？,孙悟空大闹天宫导致唐僧取经,孙悟空大闹天宫阻碍了唐僧取经,两事件之间无关系,孙悟空是唐僧的徒弟
西游记,关于《西游记》这本小说，唐僧师徒抵达天竺边境与唐僧取得无上真经事件有什么关系？,抵达天竺边境后取得无上真经,抵达天竺边境是取得无上真经的前提,两事件之间无关系,抵达天竺边境是无上真经的障碍
西游记,关于《西游记》这本小说，悉达多的离家和成为苦行僧事件与他在城市遇见伽摩拉的事件有什么关系？,伽摩拉的教导使悉达多重新考虑离家决定,伽摩拉的出现导致悉达多更加坚定成为苦行僧,悉达多的离家事件完全不影响他在城市遇见伽摩拉,悉达多在城市遇见伽摩拉后立即放弃苦行僧生活
西游记,关于《西游记》这本小说，悉达多的富裕生活和他决定过低调生活的事件有什么关系？,悉达多决定低调生活是为了再次追求富裕,富裕生活使悉达多认识到物质并非他所追求,富裕生活使悉达多变得傲慢自满，不再追求更多,低调生活是为了回避伽摩拉对他的影响
嫌疑人X的献身,关于《嫌疑人X的献身》这本小说，旧江户川中的尸体事件与故事中的哪个事件有关系？,富?慎二突然造访,花冈母女的冲突,石神的建议,汤川学的介入
香水,关于《香水》这本小说，格勒努耶的早年经历与他隐居康塔尔山脉的事件有什么关系？,早年经历塑造了格勒努耶对香味的痴迷，推动了他寻求隐居生活。,早年经历使格勒努耶逐渐变得孤僻，导致他选择隐居康塔尔山脉。,早年经历让格勒努耶对社会感到绝望，促使他选择隐居康塔尔山脉。,早年经历让格勒努耶对香味产生兴趣，但与他隐居康塔尔山脉无直接关系。
香水,关于《香水》这本小说，格勒努耶与朱塞佩·巴尔迪尼的学徒生活与他杀害年轻女子的事件有什么关系？,格勒努耶在学徒生活中学到了制作特殊香水的技巧，推动了他杀害年轻女子。,学徒生活让格勒努耶对社会产生憎恨，推动了他杀害年轻女子。,格勒努耶在学徒生活中受到了巴尔迪尼的操控，促使他杀害年轻女子。,学徒生活让格勒努耶对香味产生兴趣，但与他杀害年轻女子无直接关系。
象棋的故事,关于《象棋的故事》这本小说，“船夫的儿子成为象棋世界冠军”事件和“B博士加入象棋对局”事件有什么关系？,船夫的儿子受到B博士的指导成为象棋世界冠军,B博士是船夫的儿子的象棋老师,B博士参与象棋对局导致船夫的儿子被发现象棋才能,船夫的儿子在象棋对局中战胜B博士
象棋的故事,关于《象棋的故事》这本小说，“我”采取小伎俩获得与象棋世界冠军对弈的事件和“B博士的参与象棋对局”事件有什么关系？,B博士提出了“我”与象棋世界冠军对弈的建议,“我”利用小伎俩吸引了B博士的注意，进而邀请象棋世界冠军对弈,B博士阻止了“我”与象棋世界冠军的对弈,“我”向B博士请教象棋策略，然后与象棋世界冠军对弈
小王子,关于《小王子》这本小说，小王子离开星球和与玫瑰闹别扭的事件有什么关系？,两事件没有直接关联,离开星球导致与玫瑰闹别扭,与玫瑰闹别扭导致离开星球,离开星球是为了逃避与玫瑰的矛盾
小王子,关于《小王子》这本小说，小王子与地理学家的相遇与小王子对其他星球的探索事件有什么关系？,两事件没有直接关联,与地理学家相遇启发了小王子对其他星球的探索,小王子对其他星球的探索引导了他与地理学家的相遇,与地理学家相遇让小王子放弃了对其他星球的探索
肖申克的救赎,关于《肖申克的救赎》这本小说，安迪·杜弗伦被判处无期徒刑和他洗钱逃跑这两个事件有什么关系？,洗钱逃跑是安迪为了躲避判刑而进行的犯罪行为,洗钱逃跑是安迪为了改善监狱条件而进行的行动,安迪洗钱逃跑是为了寻找更好的生活机会,安迪洗钱逃跑是为了揭露监狱腐败体制
肖申克的救赎,关于《肖申克的救赎》这本小说，布鲁克斯·哈特伦获得假释和他的自杀这两个事件有什么关系？,假释使得布鲁克斯无法适应外界生活，最终选择自杀,假释给予了布鲁克斯新生活机会，但他因别的原因选择自杀,假释导致布鲁克斯感到无法自立，最终选择自杀,假释使得布鲁克斯心情愉悦，未料到他最终会选择自杀
笑傲江湖,关于《笑傲江湖》这本小说，《辟邪剑谱》和福威镖局灭门有什么关系？,是福威镖局灭门事件的前因,是福威镖局灭门事件的结果,和福威镖局灭门事件无直接关系,是福威镖局灭门事件的同时发生
笑傲江湖,关于《笑傲江湖》这本小说，令狐冲失明事件和岳不群被擒事件有什么关系？,是岳不群被擒事件的结果,是岳不群被擒事件的前因,和岳不群被擒事件无直接关系,和岳不群被擒事件是同时发生的
许三观卖血记,关于《许三观卖血记》这本小说，许三观卖血和他娶许玉兰有什么关系？,卖血赚钱导致了娶许玉兰,娶许玉兰导致了卖血事件,两事件无直接关系,卖血事件和娶许玉兰是同时发生的
许三观卖血记,关于《许三观卖血记》这本小说，许三观得知儿子真正身份的事件和他再次卖血的事件有什么关系？,知道儿子真正身份导致了再次卖血,再次卖血导致了知道儿子真正身份,两事件无直接关系,知道儿子真正身份和再次卖血是同时发生的
雪山飞狐,关于《雪山飞狐》这本小说，雪山飞狐胡斐与胡一刀的武术传承事件与故事中的哪个关键事件有何关系？,苗人凤之死,铁盒抢夺战,李自成的起义,宝刀与地图的揭示
雪山飞狐,关于《雪山飞狐》这本小说，苗若兰的真实身份事件与哪个事件有直接关系？,李自成的起义,胡一刀与苗人凤的比试,胡斐救苗人凤,宝刀与地图的揭示
一个叫欧维的男人决定去死,关于《一个叫欧维的男人决定去死》这本小说，欧维的自杀意图与帕瓦内的到来之间有何关系？,帕瓦内挫败了欧维的自杀计划,帕瓦内加剧了欧维的抑郁情绪,帕瓦内是欧维自杀的原因,帕瓦内与自杀意图无关
一个叫欧维的男人决定去死,关于《一个叫欧维的男人决定去死》这本小说，索尼娅的意外事故对欧维的人生态度产生了什么影响？,增强了对家庭的依赖,激发了对新生活的追求,引发了对社会的不信任,导致了对自我放逐
一句顶一万句,关于《一句顶一万句》这本小说，吴摩西走出延津与哪个事件有关？,与养女失踪事件有关,与牛爱国寻找朋友事件有关,与河南开封的历史事件有关,与沁源的特定时间有关
一桩事先张扬的凶杀案,关于《一桩事先张扬的凶杀案》这本小说，新娘的退婚和新娘的两个哥哥拿着杀猪刀有什么关系？,新娘的退婚导致了哥哥们愤怒，决定复仇,新娘的退婚是哥哥们精心策划的谋杀计划,哥哥们事先知晓新娘的退婚，因此准备复仇,新娘的退婚与哥哥们的行动无关
一桩事先张扬的凶杀案,关于《一桩事先张扬的凶杀案》这本小说，凶杀案和富商巴亚尔多·圣罗曼发现新娘不是处女有什么关系？,凶杀案和富商的发现是纯属巧合，没有直接关系,富商的发现直接引发了凶杀案的发生,富商的发现让小镇居民对新娘失去尊重，间接影响了凶杀案,凶杀案与富商的发现完全无关
月亮与六便士,关于《月亮与六便士》这本小说，思特里克兰德的离家去巴黎和开始追求绘画的事件有什么关系？,他离家是因为在巴黎有更好的绘画机会,他开始追求绘画后才离家去巴黎,他在巴黎得到了灵感，才开始追求绘画,他的离家与绘画无关
月亮与六便士,关于《月亮与六便士》这本小说，思特里克兰德的失明和完成巨型壁画的事件有什么关系？,失明直接导致了他完成壁画,完成壁画后不久他失明,他在失明前完成了壁画,失明和完成壁画是无关的两个事件
云边有个小卖部,关于《云边有个小卖部》这本小说，外婆患癌症与刘十三离开故乡这两个事件之间有着什么样的关系？,外婆患癌症是刘十三离开的原因,外婆患癌症是刘十三回乡的原因,外婆患癌症是刘十三坚持学业的动力,外婆患癌症与刘十三离开故乡无关
云边有个小卖部,关于《云边有个小卖部》这本小说，刘十三回乡与刘十三努力学习这两个事件之间有着什么样的关系？,均是刘十三的青少年时期经历,刘十三回乡导致了刘十三努力学习,刘十三努力学习导致了刘十三回乡,这两个事件无明显关联
长安的荔枝,关于《长安的荔枝》这本小说，荔枝运输和唐朝政治局势有什么关系？,荔枝运输事件直接导致政治动荡,政治局势影响了荔枝运输的顺利进行,政治稳定与荔枝运输无直接关系,荔枝运输事件导致政治改革
长安的荔枝,关于《长安的荔枝》这本小说，荔枝运输和主人公李善德的家庭生活有什么关系？,荔枝运输事件使李善德疏远了家人,家庭生活影响了李善德对荔枝运输的态度,荔枝运输事件让李善德更加珍惜家庭,家庭生活对荔枝运输事件没有影响
长日将尽,关于《长日将尽》这本小说，史蒂文斯在达林顿府工作与他最终在海边悔悟的事件有什么关系？,两者无关,工作经验促使他反思自己的人生,海边的经历直接导致他离开达林顿府,海边的经历使他更加坚定了为达林顿府服务的决心
长日将尽,关于《长日将尽》这本小说，史蒂文斯长期为达林顿勋爵服务与他与肯顿小姐的感情事件有什么关系？,两者无关,为达林顿勋爵服务导致了他无法追求感情,为达林顿勋爵服务使他更有信心表白自己的感情,为达林顿勋爵服务导致他无法产生感情
追风筝的人,关于《追风筝的人》这本小说，阿米尔在童年时目睹了什么令他感到内疚的事件？,一场火灾,婚礼仪式,母亲的去世,哈桑的遭遇
追风筝的人,关于《追风筝的人》这本小说，苏联入侵阿富汗事件和阿米尔逃往美国事件有什么关系？,阿米尔逃离苏联占领的阿富汗,阿米尔为了逃避战乱而选择离开阿富汗,阿米尔成为了苏联的间谍,阿米尔反对了苏联的侵略行为
最好的我们,关于《最好的我们》这本小说，耿耿进入振华高中和结识余淮这两事件有什么关系？,耿耿进入振华高中是为了认识余淮,耿耿进入振华高中是偶然的机会，与余淮结识是巧合,耿耿进入振华高中是为了逃避家庭问题,耿耿进入振华高中是她的志愿选择
罪与罚,关于《罪与罚》这本小说，为什么拉斯柯尔尼科夫在典当商的公寓未能实施犯罪？,他突然改变了主意,典当商不在家,他被警察拦下,他遇到了意外的困难
无人生还,关于《无人生还》这本小说，故事中儿歌与每位客人死亡情境的联系是什么？,儿歌的暗示,受害者的特定心理状态,受害者的独特罪行,预示未来的事件
我的天才女友,关于《我的天才女友》这本小说，莉拉的婚姻选择与她梦想中的手工鞋店有什么关系？,莉拉的婚姻选择是为了更好地实现她的手工鞋店梦想,莉拉的婚姻选择与她的手工鞋店梦想无关,莉拉的婚姻选择导致她放弃了手工鞋店梦想,莉拉的婚姻选择使她更加坚定了手工鞋店梦想
我的天才女友,关于《我的天才女友》这本小说，埃莱娜继续学业与奥利维耶罗老师的帮助有什么关系？,奥利维耶罗老师鼓励了埃莱娜继续学业,埃莱娜继续学业与奥利维耶罗老师无关,埃莱娜继续学业使奥利维耶罗老师感到失望,埃莱娜继续学业使奥利维耶罗老师感到满意
斯通纳,关于《斯通纳》这本小说，斯通纳的婚姻失败主要是因为什么？,内外因素的干涉,缺乏沟通和理解,无法克服困难,所有选项都是正确的
斯通纳,关于《斯通纳》这本小说，威廉·斯通纳进入密苏里大学学习农学与后来成为大学老师有什么关系？,农学课程帮助他成为大学老师,大学学习激发了他对文学的兴趣,大学学习让他迷失了方向,农学课程与成为大学老师无关
斯通纳,关于《斯通纳》这本小说，斯通纳的妻子离他而去与他的事业发展有什么关系？,事业发展使他们关系疏远,事业发展让他们更加亲近,妻子的离去促使他事业上更有动力,妻子的离去与事业发展无关
受戒,关于《受戒》这本小说，明海接受戒礼和他受戒前的活动有什么关系？,因果关系,时间先后关系,空间关系,前因后果关系
梦里花落知多少,关于《梦里花落知多少》这本小说，林岚的派对和白松开始交往有什么关系？,林岚的派对是白松和林岚相识的场合,林岚的派对是白松向林岚表白的场合。,林岚的派对是白松和李茉莉正式公开交往的场合。,林岚的派对是白松和闻婧相识的场合。
梦里花落知多少,关于《梦里花落知多少》这本小说，林岚与陆叙在上海重逢和林岚邀请陆叙住进她的房子有什么关系？,林岚与陆叙在上海重逢后，林岚主动邀请陆叙住进她的房子。,林岚与陆叙在上海重逢后，陆叙提出要住进林岚的房子。,林岚与陆叙在上海重逢后，他们一起决定搬到林岚的房子住。,林岚与陆叙在上海重逢后，他们共同选择搬到上海的新房子住。
骆驼祥子,关于《骆驼祥子》这本小说，造成祥子人生理想破灭的主要事件是什么？,被侦探敲诈、洗劫一空,虎妞死于难产,小福子的自杀,三匹骆驼被抢走
鹿鼎记,关于《鹿鼎记》这本小说，韦小宝被封为鹿鼎公的事件与下列哪个事件存在直接关系？,韦小宝被封为远东伯爵,韦小宝成功解救建宁公主,韦小宝潜入皇宫冒充太监,韦小宝被封为天地会总舵主
鹿鼎记,关于《鹿鼎记》这本小说，韦小宝被封为天地会总舵主的事件与下列哪个事件存在直接关系？,韦小宝奉陈近南之命回宫卧底,韦小宝被封为鹿鼎公,韦小宝被洪安通抓获,韦小宝成功解救建宁公主
房思琪的初恋乐园,关于《房思琪的初恋乐园》这本小说，思琪在精神病院发疯和她经历的羞辱有什么关系？,思琪找到了内心的平静和安宁,思琪开始反抗精神病院的虐待,思琪与怡婷再次见面,思琪被送入精神病院
房思琪的初恋乐园,关于《房思琪的初恋乐园》这本小说，怡婷目睹思琪南辕北辙和她对思琪的观察有什么关系？,怡婷对思琪的嫉妒加深,怡婷意识到思琪的困境,怡婷向思琪伸出援手,怡婷告诉李国华思琪的状况
窗边的小豆豆,关于《窗边的小豆豆》这本小说，小豆豆被原学校退学与她来到巴学园的事件有什么关系？,她被退学是因为在巴学园遇到了问题,她被退学导致了她来到巴学园,她被退学与来到巴学园无关,她来到巴学园是自愿的
窗边的小豆豆,关于《窗边的小豆豆》这本小说，“巴学园”中午餐特色与校长询问“海的味道”和“山的味道”有什么关系？,校长的问题与午餐特色无关,校长提问影响了午餐特色的选择,午餐特色是根据校长的口味选择的,校长的问题是午餐特色的来源
茶馆,关于《茶馆》这本小说，裕泰茶馆的常四爷被抓走后，茶馆的生意如何受到影响？,生意繁荣，客流增加,生意持平，客人不受影响,生意清淡，客人减少,生意崩溃，关门停业
茶馆,关于《茶馆》这本小说，裕泰茶馆开业和戊戌变法有什么关系？,裕泰茶馆是戊戌变法的结果,裕泰茶馆受戊戌变法启发,裕泰茶馆是戊戌变法的背景,裕泰茶馆与戊戌变法无关
茶馆,关于《茶馆》这本小说，茶馆衰败和抗日战争胜利有什么关系？,茶馆衰败是抗日战争的结果,茶馆衰败与抗日战争无关,茶馆衰败是为抗日战争做准备,茶馆衰败是对抗日战争的回应
草房子,关于《草房子》这本小说，油麻地的建设工程和故事中的孩子们的痛苦成长历程有什么关系？,油麻地的建设工程影响了孩子们的学习环境,孩子们参与了油麻地的建设工程,油麻地的建设工程改变了孩子们的家庭背景,孩子们对油麻地的建设工程持反对态度
草房子,关于《草房子》这本小说，蒋一轮的教育方法和少年少女之间的纯情有什么关系？,蒋一轮的教育方法影响了少年少女的感情交往,少年少女受到蒋一轮的教育影响而改变了态度,蒋一轮的教育方法是为了培养少年少女的友谊,少年少女对蒋一轮的教育方法不感兴趣
边城,关于《边城》这本小说，天保提前托媒人提亲是因为他爱上了谁？,顺顺,翠翠,老船夫,傩送
边城,关于《边城》这本小说，翠翠与傩送相遇和老船夫去世有什么关系？,相遇事件导致老船夫去世,相遇事件与老船夫去世无关,相遇事件发生在老船夫去世之后,相遇事件发生在老船夫去世之前
边城,关于《边城》这本小说，船总顺顺冷淡对待翠翠和傩送去做生意并淹死有什么关系？,船总冷淡导致傩送去做生意并淹死,船总冷淡是傩送去做生意的原因,船总冷淡发生在傩送去做生意之后,船总冷淡发生在傩送去做生意之前
白夜行,关于《白夜行》这本小说，雪穗的母亲及其“母亲的情人”相继死去的原因是什么？,意外事故,桐原亮司的复仇,疾病,自然灾害
白鹿原,关于《白鹿原》这本小说，鹿三杀死田小娥和白孝文成为族长有什么关系？,白孝文成为族长后派遣鹿三杀死田小娥,鹿三杀死田小娥导致白孝文成为族长,鹿三杀死田小娥与白孝文成为族长无关,白孝文成为族长后阻止了鹿三杀死田小娥
白鹿原,关于《白鹿原》这本小说，黑娃投奔革命军和鹿子霖败家堕落有什么关系？,黑娃投奔革命军是为了拯救鹿子霖的家庭,事件鹿子霖败家堕落导致黑娃投奔革命军,事件黑娃投奔革命军与事件鹿子霖败家堕落无关,黑娃投奔革命军是为了寻求自己的政治出路
霸王别姬,关于《霸王别姬》这本小说，“小楼被小四陷害”事件与下列哪个事件有关系？,小四成为蝶衣的舞台搭档,菊仙被官僚袁世卿玩弄,蝶衣被关师傅训斥,小豆子进入关家戏班学戏
霸王别姬,关于《霸王别姬》这本小说，“蝶衣自刎”事件与下列哪个事件有关系？,小豆子进入关家戏班学戏,菊仙被官僚袁世卿玩弄,小楼被小四陷害,蝶衣娶妓女菊仙为妻
遥远的向日葵地,关于《遥远的向日葵地》这本小说，该书讲述了李娟一家在乌伦古河哪一边种向日葵的生活经历,南岸,北岸,东岸,西岸
长日将尽,关于《长日将尽》这本小说，小说围绕着史蒂文斯几天驾车旅行展开,1天,2天,5天,6天
温柔的夜,关于《温柔的夜》这本小说，该书讲述了三毛在什么地方的生活,加纳利群岛,菲律宾群岛,舟山群岛,西沙群岛
不能承受的生命之轻,关于《不能承受的生命之轻》这本小说，小说讲述的是什么故事,童话故事,职场故事,农村故事,三角性爱故事
恶意,关于《恶意》这本小说，该小说想要传递什么主旨思想？,人性的黑暗,永存的善意,梦想的力量,拼搏的精神
解忧杂货店,关于《解忧杂货店》这本小说，书中写下烦恼投进偷信口，第二天可以在哪里得到回答,牛奶箱,投信口,门口,自己家中
水浒传,关于《水浒传》这本小说，《水浒传》中多处提到宋太祖武德皇帝昔日曾留下旧制：新发配充军到的罪犯，须吃一百杀威棒。,林冲,宋江,武松,以上都是
一个陌生女人的来信,关于《一个陌生女人的来信》这本小说，小说以什么形式讲述了女子写下信件,书信,自传,叙述文,议论文
肖申克的救赎,关于《肖申克的救赎》这本小说，什么支撑着肖申克的信念？,对人性的信任,对自由的向往,对梦想的追求,对自己的信心
一个叫欧维的男人决定去死,关于《一个叫欧维的男人决定去死》这本小说，书中为什么有欧维在小区中巡逻的情节,并无意义,作者习惯,填充书籍字数,突显人物性格
水浒传,关于《水浒传》这本小说，梁山好汉中有几位初次上梁山却未入伙的好汉是,卢俊义,雷横,杨志,以上都是
温柔的夜,关于《温柔的夜》这本小说，在加纳利群岛，什么体验为三毛的创作注入了如水般的柔情与丰博,充满烟火气的海边生活,充满烟火气的小镇生活,美妙的海上生活,艰苦的岛上生活
苏菲的世界,关于《苏菲的世界》这本小说，最终艾伯特和苏菲逃出书中世界，来到了什么世界,席德所在的世界,现实世界,悲惨世界,理想世界
一句顶一万句,关于《一句顶一万句》这本小说，巧玲被卖到什么地方成了曹青娥,陕西,山西,山东,新疆
2001：太空漫游,关于《2001：太空漫游》这本小说，第一块黑石版的目的是什么？,探索宇宙的未知事物,研究地球外存在的智能生物,收集宇宙信息,促进智慧生命的演化
2001：太空漫游,关于《2001：太空漫游》这本小说，为什么飞船改变了原定的任务目的地？,因为船上的人工智慧电脑发生故障,因为船上的人工智慧电脑发生故障,因为木星提供了更快、更省燃料的加速机会,因为任务控制中心下达了新的指令
2001：太空漫游,关于《2001：太空漫游》这本小说，星童的最终目的是什么？,探索火星,探索太阳系外的星际空间,寻找新的太空航行技术,探索地球
2001：太空漫游,关于《2001：太空漫游》这本小说，故事中黑石版的数量共有几块？,一块,两块,三块,四块
百年孤独,关于《百年孤独》这本小说，乌尔苏拉·伊瓜兰对马康多村庄的发展起到了怎样的作用？,推动现代化发展,维持家族传统,引发社区分裂,造成人口减少
百年孤独,关于《百年孤独》这本小说，故事中哪个事件标志着马康多村庄开始走向衰落？,创立镜之城,镜子的覆灭,乌苏拉的离世,奥雷里亚诺的消失
不能承受的生命之轻,关于《不能承受的生命之轻》这本小说，布拉格之春事件对特瑞莎的生活轨迹产生了怎样的影响？,使她获得政治上的荣誉,促使她放弃摄影事业,提高了她的摄影技术,使她获得国际认可
灿烂千阳,关于《灿烂千阳》这本小说，塔利格的出现对莱拉的人生产生了怎样的影响？,增加了幸福感和满足,使她陷入混乱和痛苦,提高了她的社会地位,使她更加勇敢和坚定
